Summary,Detection,Conclusion,Actionable,Time,cause_of_incident,severity_level,major_impact,
A change in the MediaWiki REST API caused requests for old revisions to serve the current revision. It was noticed because visual diffs were all indicating no changes happened.,The issue was manually detected by a human.,,"Automated testing to verify behavior of requesting HTML of old revisions from the REST API (https://gerrit.wikimedia.org/r/866621, https://gerrit.wikimedia.org/r/866622)
** Should examine why/how Parsoid's ""old"" api-testing pathways regressed, which would/should have covered this code.  Are there other tests from the old api-testing suite which have similarly vanished?
*** The tests for retrieving revision HTML by revision ID existed and was covering this path - but the revision ID it was using for the test was the current revision. We never had a test specifically for an old revision. This has now been added. daniel (talk) 16:54, 15 December 2022 (UTC)
* There are alternate 'easier' ways to do rollbacks now.  Update documentation.
* Is the 22-minute long sync-wikiversions expected? No.
** The kubernetes multi-version image build took 10 minutes.  The reason is a bad behavior in the incremental image build process when wikiversions rolls back.  https://phabricator.wikimedia.org/T325576
* Documentation to make it clearer that rollback was the correct solution to this problem.
* Something around testing forward- and backward-compatibility of Parsoid/RESTBase version downgrades
* Something around testing forward-compatibility of ParserCache changes
** The documentation doesn't just need to exist, it needs to be discoverable in the the right spot. Probably in a place that developers would touch when trying to implement backwards compatibility.
* Is there some way to enhance the visibility of breakages in the ""visual diff"" feature, to make it more likely regressions in the feature will be caught during group0 or group1 rollout?
** It would be nice to have Selenium tests for this feature. Selenium tests are slow, brittle, and tricky to set up locally. It would help if we could streamline this.
* Reduce the gap between the UBN being filed and the relevant team springing into action
** Platform Engineering currently doesn't have a notification mechanism for UBNs. A bot posting to Slack would be helpful.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	no 	batphone because after business hours
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	all SRE were paged, Content Transform Team was not paged
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	
Process                                       	Was the incident status section actively updated during the incident?                                             	no 	This wiki page was created before the incident was resolved, but Kunal the IC didn't have access needed to create a incident status google doc.
Process                                       	Was the public status page updated?                                                                               	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	T324801
Process                                       	Are the documented action items assigned?                                                                         	no 	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	no 	See above regarding usage of Signal and #page in #mediawiki_security
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	no 	Issue was manually detected by a human
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	phabricator, klaxon, scap sync-wikiversions worked
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	yes	Heterogeneous_deployment/Train_deploys#Rollback
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	7",2022-12-09,Code and Application Bugs,mid,API or Integration Failures,
"During a routine maintenance consisting of upgrading HAProxy on cache hosts, all of the backends (ATS) in the text cache cluster in esams and eqiad were accidentally depooled due to a mismatch on the maintenance run between depooling the hosts individually and pooling back the cdn. This caused both cached and uncached traffic requests for wikis and other ATS-backed services to fail and return errors to clients, mostly in parts of Europe, Africa and Asia. Approximately 17 million HTTP requests (according to varnish) / 5 million user requests (according to NEL estimation) errored out in total. Editing rate was reduced to less than half. Upload cluster, clients geolocated to drmrs, codfw, ulsfo or eqsin, and GET requests cached in memory were not affected.","Automated alerts / pages fired (FrontendUnavailable)* FrontendUnavailable cache_text ()
* FrontendUnavailable (varnish-text)
* [5x] ProbeDown (probes/service eqiad)",,"Update tunnelencabulator, some SREs had trouble accessing graphs during the outage
** https://github.com/cdanis/tunnelencabulator/pull/6
* T330272 Provide a cookbook to perform HAProxy upgrades on CDN nodes
* T330405 Improve FrontendUnavailable alerts with more information/context of what's failing==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	yes	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	yes	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	yes	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	yes	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	yes	
Process                                       	Is there a phabricator task for the incident?                                                                     	no 	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	13",2023-02-22,Configuration and Deployment Errors,high,Service Downtime,
Roll out of wmf.8 to group1 broke the world.,Initial indicators of the issue were picked up in logstash and via logspam-watch on mwlog1001.  A large number of Icinga alerts followed.It seems likely that the primary issue was obscured during the initial deploy by a focus on Parsoid errors.,,,2019-12-04,Configuration and Deployment Errors,high,Service Downtime,
During scap deploys one of the LVS servers in eqiad was taken down which resulted in multiple servers being depooled making eqiad unable so serve traffic.,The issue was detected immediately by SRE doing maintenance work. Multiple alerts as well as pages immediately followed.,,"https://phabricator.wikimedia.org/T334703==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	no 	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	yes	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	yes	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	yes	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	yes	
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	no 	Same issue as Incidents/2023-04-17 eqiad/LVS
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	no 	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	10",2023-04-17,Server and Infrastructure Failures,high,Service Downtime,
"A template changes in itwiki triggered translusion updates to many pages. Changeprop (with retries) issued thousands of requests to the API cluster to reparse the transcluding pages, including page summaries, which are done by Mobileapps.","The consequences of the issues, that is not having enough PHP-FPM workers available was detected in a timely manner from icinga multiple times* 14:36: PROBLEM - Not enough idle PHP-FPM workers for Mediawiki api_appserver at eqiad #page
* 15:33: PROBLEM - Some MediaWiki servers are running out of idle PHP-FPM workers in api_appserver at eqiad
* 19:09 Pages again: PROBLEM - Not enough idle PHP-FPM workers for Mediawiki api_appserver at eqiad #page on alert1001 is CRITICAL: 0.2933 lt 0.3 Unfortunately it took a considerable amount of time to pin down the root cause.",,"Mobileapps is often throttled in codfw T305482
*Limit changeprop transclusion concurrency. https://gerrit.wikimedia.org/r/c/operations/deployment-charts/+/774462==Scorecard==Incident Engagement™  ScoreCard           	Question                                                                                                                                                 	Score	Notes
People     	Were the people responding to this incident sufficiently different than the previous five incidents? (score 1 for yes, 0 for no)                         	0    	
People     	Were the people who responded prepared enough to respond effectively (score 1 for yes, 0 for no)                                                         	1    	
People     	Were more than 5 people paged? (score 0 for yes, 1 for no)                                                                                               	0    	
People     	Were pages routed to the correct sub-team(s)? (score 1 for yes, 0 for no)                                                                                	0    	
People     	Were pages routed to online (business hours) engineers? (score 1 for yes,  0 if people were paged after business hours)                                  	0    	
Process    	Was the incident status section actively updated during the incident? (score 1 for yes, 0 for no)                                                        	1    	
Process    	Was the public status page updated? (score 1 for yes, 0 for no)                                                                                          	N/A  	
Process    	Is there a phabricator task for the incident? (score 1 for yes, 0 for no)                                                                                	0    	
Process    	Are the documented action items assigned?  (score 1 for yes, 0 for no)                                                                                   	0    	
Process    	Is this a repeat of an earlier incident (score 0 for yes, 1 for no)                                                                                      	0    	
Tooling    	Was there, before the incident occurred, open tasks that would prevent this incident / make mitigation easier if implemented? (score 0 for yes, 1 for no)	0    	
Tooling    	Were the people responding able to communicate effectively during the incident with the existing tooling? (score 1 for yes, 0 or no)                     	1    	
Tooling    	Did existing monitoring notify the initial responders? (score 1 for yes, 0 for no)                                                                       	1    	
Tooling    	Were all engineering tools required available and in service? (score 1 for yes, 0 for no)                                                                	1    	
Tooling    	Was there a runbook for all known issues present? (score 1 for yes, 0 for no)                                                                            	0    	
Total score	Total score                                                                                                                                              	5",2022-03-27,Performance and Load Issues,mid,Degraded System Performance,
"The main page of the French Wikipedia was loading much slower than usual for some time on October 30th 2020. The page did load but took several seconds and up to 20 seconds to finish.The incident lasted roughly 7 hours and the group of affected users were all logged in users using the main page of French Wikipedia during that time. Logged out users / general readers were served cached results and did not notice the incident. We can roughly estimate the number of affected users to about ~ 625, based on about 2500 unique editors per day.The ones who did notice started reporting on the French Wikipedia Bistro page and a ticket on phabricator was created.The FeaturedFeeds extension adds Atom feed <link> tags to the head of main pages, but internally it generates the entire feed, just to add the tags. Normally it reads from the cache so this wasn't noticed until the feed became too big to fit in memcached (ITEM_TOO_BIG error) and was being generated/parsed on every main page load, including action=history or action=edit.The issue was resolved after the wmgFeaturedFeedsOverrides limit used by the FeaturedFeeds extensionwas reduced from 60 items per feed to the default of 10 items per feed that is used by other wikis.This did not change rendering of the main page; the only lasting effect will be that users of fr.planet.wikimedia.org, the RSS feed aggregator for Wikimedia-related feeds, will see only 10 instead of 60 items from the fr.wikipedia featured feed.The feed config and special case for frwiki had been added as part of  back in 2017.An additional mini report can be found in T266865#6592372.",,,"reduce number of feed items from 60 to default (done)
* : FeaturedFeeds should not load all feed content just to output the feed URLs on the main page (done)",2020-10-30,Code and Application Bugs,mid,Degraded System Performance,
"An upgrade of Gerrit from 3.4.8 to 3.5.4 was scheduled on November 17th at 9:00 UTC. After the upgrade, the root partition filled up causing Gerrit to no longer be able to write to its indexes. The first symptoms were inability to write a comment or cast a vote. The service got stopped entirely to relocate Gerrit data to a dedicated partition. The upgraded Gerrit was back at 11:45 UTC.","The first report was at 9:16 by Valentin. He was getting no content beside header/footer in https://gerrit.wikimedia.org/r/dashboard/self . Same for https://gerrit.wikimedia.org/r/q/status:open+-is:wip . It was unclear whether it was related and it got dismissed based on browser caches being out of sync.Timo reports at 10:36 that no write action works. It is when the root partition had filled.Icinga alerts did not trigger since Gerrit/Upgrade#Deploying asks to put both hosts in maintenance mode, hence none of the probes (such as the disk space check) emit any alarm.","When a full reindexing of changes, it would probably be better to conduct the upgrade very early in the UTC morning or over the week-end.
* The upgrade procedure requests to disable the Icinga monitoring at the host level. As a side effect it also disables the disk space checks.
* The H2 databases have probably been carried over since we originally started Gerrit. It is unclear whether they should be so large. Antoine is puzzled by gerrit show-caches output which reports gerrit_file_diff to have Space: 134.20m but the corresponding H2 database file gerrit_file_diff.h2.db file was 12 GBytes.
* Relocating the large files to a dedicated partition was the fix","Move Gerrit data out of root partition
*  Investigate why the H2 database files are so large
* Document the new partition layout? (partition to be removed after data get moved)
* Check with SRE collab about the partitioning scheme on gerrit1001 since the root partition is not LVM managed.
* 2022-12-16 wrote a blog post Phame > Doing the needful > Shrinking H2 database files==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	Yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	Yes	
People                                        	Were fewer than five people paged?                                                                                	No 	No people was paged at all.
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	No 	No people was paged at all/alerts were disabled.
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	No 	No people was paged at all.
Process                                       	Was the incident status section actively updated during the incident?                                             	No 	
Process                                       	Was the public status page updated?                                                                               	No 	Internal people was kept up to date prudently on both Wikitech-l, Slack and IRC
Process                                       	Is there a phabricator task for the incident?                                                                     	Yes	
Process                                       	Are the documented action items assigned?                                                                         	No 	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	Yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	Yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	Yes	Over IRC
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	No 	Monitoring was disabled
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	Yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	No 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	7",2022-11-17,Server and Infrastructure Failures,high,Service Downtime,
"eqsin is connected to the core DCs via two transport links, one of them has been suffering a long fiber cut (see T322529) the other one went down due to a planned maintenance from the transport provider. For ~11min (+ the time user's DNS resolvers pick up eqsin depool, long tail up to 30min) users normally redirected to eqsin (mostly in the APAC region) were only able to read Wikipedia pages already cached in eqsin.",,OPTIONAL: General conclusions (bullet points or narrative),"Create a backup GRE tunnel - https://phabricator.wikimedia.org/T327265
* Ensure the long down transport link comes back up properly once fixed - https://phabricator.wikimedia.org/T322529
* Automatically parse maintenance notifications and alert on conflicting maintenance - https://phabricator.wikimedia.org/T230835Create a list of action items that will help prevent this from happening again as much as possible. Link to or create a Phabricator task for every step.Add the #Sustainability (Incident Followup) and the #SRE-OnFIRE (Pending Review & Scorecard)  Phabricator tag to these tasks.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	no 	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	no 	no, 2 of the 3 pages escalated to batphone
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	same as above
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	yes	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	yes	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	yes	https://www.wikimediastatus.net/incidents/h3kkhqf88msr
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	T328354
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	no 	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	There was no open task but one could be open as soon as we receive the maintenance email from the provider.
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	yes	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	11",2023-01-10,Server and Infrastructure Failures,mid,Degraded System Performance,
,Automated monitoring detected the alert but a human noticed the outage and triaged it with the alert.,"To prevent similar incidents from happening in the future, the team reviewed their upgrade and alerting procedures to ensure that all necessary checks and tests are performed before updates are applied in production.","ThanosCompactHalted error on overlapping blocks. Find and nuke the non-aligned blocks. T335406
* Ensure that the replica label is set for all Prometheus hosts. Make puppet fail when replica=unset. T335406
* Alert when no data is received from Prometheus in a certain amount of time. T336448
* Update the migration procedure on Wikitech. T309979==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              		
People                                        	Were the people who responded prepared enough to respond effectively                                              		
People                                        	Were fewer than five people paged?                                                                                		
People                                        	Were pages routed to the correct sub-team(s)?                                                                     		
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.		
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        		
Process                                       	Was a public wikimediastatus.net entry created?                                                                   		
Process                                       	Is there a phabricator task for the incident?                                                                     		
Process                                       	Are the documented action items assigned?                                                                         		
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               		
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.		
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         		
Tooling                                       	Did existing monitoring notify the initial responders?                                                            		
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    		
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   		
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2023-05-05,,,,
"Impact: For about 20 minutes, almost all content page parses were broken. They received, along with any other user interaction with the wb_items_per_site table in some way, a database error message instead of page content. This affected many (but not all or even most) page views for logged-in users, and many (possibly most, but not all) edits made to wikis. For 19 hours, all users looking at pages rendered since the incident start received some incorrect metadata on pageviews (infobox content, cross-language links, wikdata item relation). Also, Wikidata's checks for duplicate site links failed, leading to many hundreds of duplicate items being created.Cause: Wikidata's wb_items_per_site secondary table, used for the rendering of every page connected to Wikidata, was dropped by a mis-configured weekly cron script which executed the update.php code path, which itself had been misconfigured for eight years to drop this table. This immediately led to a DBQueryError on content page loads (reads). The table was re-created as blank, at which point pages began to paint again (though wrongly).","First report to #wikimedia-operations at 23:03:57 UTC <NotASpy> just got an error - [Xou1IQpAIDEAAC74T5wAAAOQ] 2020-04-06 23:03:09: Fatal exception of type ""Wikimedia\Rdbms\DBQueryError"" (log)
* icinga-wm reported problems a minute later at 23:05:33 UTC <icinga-wm> PROBLEM - MediaWiki exceptions and fatals per minute on icinga1001 is CRITICAL: cluster=logstash job=statsd_exporter level=ERROR site=eqiad https://wikitech.wikimedia.org/wiki/Application_servers https://grafana.wikimedia.org/d/000000438/mediawiki-alerts?panelId=2&fullscreen&orgId=1&var-datasource=eqiad+prometheus/ops* There was not an alert that indicated this was happening for most parser cache renders, or that there was a high rate (>700/second) of Mediawiki serving 50X errors to the cache servers .  There should have been automated detection of such a condition, including paging SRE -- if this had happened at off-hours, it could have gone unnoticed by engineers for far too long.",,"Remove ALTER and DROP permissions from the wikiadmin user (which is used by automated crons).  Create a separate user for humans performing schema changes. https://phabricator.wikimedia.org/T249683
** Dumps processes probably shouldn't run with a SQL user that can alter any data, let alone drop tables.
** Potentially, permissions should be much more fine-grained:  separate users for maintenance scripts/crons; for testing ro queries; one for dumps generation; core vs extensions maintenance, etc.
** Maybe DROP TABLE should not granted to anyone except DBAs?
** Maybe ""Database::dropTable"" should check for production environment (similar to update.php) and fail if something like that happens.
* sql.php must re-implement update.php's not-in-production checks if we're going to restore it.
* Having both mwscript sql.php and sql (aka mwscript mysql.php) which run very different code paths is confusing. Fix this.
* Change Wikidata cronjob to use mwscript mysql.php instead of mwscript sql.php: gerrit:587218
* sql.php must not run LoadExtensionSchemaUpdates hooks: phab:T157651
* Pursue restructuring Wikibase repository's SQL directory: phab:T205094
* Consider adding paging based on ats-be-perceived 50X error rate, which considering recent history looks to be a good signal. TODO make a task
* Wikibase schema updaters must not modify database directly phab:T249598
TODO: Add the #Wikimedia-Incident Phabricator tag to these tasks and move them to the ""Follow-up"" column.",2020-04-07,Schema and Database Issues,high,Data Loss or Corruption,
"On Friday September 13, map servers were saturating CPU due to some badly formed requests that were not validated properly by the service. This led to partial unavailability of maps from ~4:30 UTC to ~14:30 UTC. Situation was resolved by validating traffic at the caching layer.","HTTP availability for Varnish was flapping starting 4:26 UTC, getting worse by 6:49 UTC
* No page was sent, no direct alert pointing to maps / kartotherian explicitly","A bug was introduced when fixing linting issues to introduce the CI into the CI pipeline, this created a failure in the HTTP error handler making Kartotherian unable to validate request parameters that leads to high CPU cost and timeout. This needs to be addressed in Kartotherian itself ().The deploy of the code containing the bug occurred September 12 at 21:09 UTC.The amount of support we have on maps does not match the exposure of the service. While the few people working on maps are dedicated to their work and doing their best, we have too many (bad) surprises. The technical stack has many known and unknown issues and our knowledge of that stack is insufficient.The majority of maps traffic comes from other websites or apps reusing our tiles. This is allowed (at least to some extend) by Maps Terms of Use and was the original intent of the project. Given the amount of support we have at the moment, this might need to be revisited.","Fix HTTP error handler in kartotherian -  (code merged, but needs to be tested and deployed)
*Improve testing tin kartotherian endpoints
* Review the amount of support Maps has in regard of its visibility and use casesCategory:Maps outages, 2019",2019-09-13,Performance and Load Issues,mid,Service Downtime,
"Due to a uptream bug introduced in a firejail update, Thumbor constantly restarting itself. This lead to increased error rates, and also increased delays from the HAProxy in front of it.","Write how the issue was first detected.  Was automated monitoring first to detect it? Or a human reporting an error?Copy the relevant alerts that fired in this section.Did the appropriate alert(s) fire? Was the alert volume manageable? Did they point to the problem with as much accuracy as possible?TODO: If human only, an actionable should probably be to ""add alerting"".",,"Create a list of action items that will help prevent this from happening again as much as possible. Link to or create a Phabricator task for every step.Add the #Sustainability (Incident Followup) and the #SRE-OnFIRE (Pending Review & Scorecard)  Phabricator tag to these tasks.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              		
People                                        	Were the people who responded prepared enough to respond effectively                                              		
People                                        	Were fewer than five people paged?                                                                                		
People                                        	Were pages routed to the correct sub-team(s)?                                                                     		
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.		
Process                                       	Was the incident status section actively updated during the incident?                                             		
Process                                       	Was the public status page updated?                                                                               		
Process                                       	Is there a phabricator task for the incident?                                                                     		
Process                                       	Are the documented action items assigned?                                                                         		
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               		
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.		
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         		
Tooling                                       	Did existing monitoring notify the initial responders?                                                            		
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    		
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   		
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)",2022-07-10,External Dependencies,mid,Degraded System Performance,
"On May 5th, 2020, all Wikidata Query Service instances were down for about 5 minutes due to a failed deployment. The Failed deployment was a result of two factors - an incorrectly executed deployment procedure and a bug in the code. Deployment that day was itself a result of a failed deployment the day before (May 4th), which in turn was caused by double jars present in the deploy repo.Bug in the code that ultimately brought down the service (Blazegraph) was the removal of serialVersionUID field from WKTSerializer class. It turned out to be needed by Blazegraph, but that that need wasn't caught by standard integration/unit tests. Effect on the instances updated with faulty code was that Blazegraph (WDQS's backend) couldn't start.Deployment was stopped after some number of instances started to fail and the previous version was rolled back. Because of how WDQS metrics are presented (all of the errors are rolled into one metric, even ""standard"" ones like user throttling), we don't know the exact number of queries affected, but metrics do not show significant impact. In any case, visibility here is problematic and needs to be addressed).","The issue was detected by icinga and the alert was posted on #wikimedia-operations. 
 PROBLEM - Check systemd state on wdqs1003 is CRITICAL: CRITICAL - degraded: The system is operational but one or more units failed. https://wikitech.wikimedia.org/wiki/Monitoring/check_systemd_state
09:43 PROBLEM - Query Service HTTP Port on wdqs2003 is CRITICAL: HTTP CRITICAL: HTTP/1.1 500 Server Error - 9597 bytes in 0.006 second response time https://wikitech.wikimedia.org/wiki/Wikidata_query_service
09:43 PROBLEM - Query Service HTTP Port on wdqs2001 is CRITICAL: HTTP CRITICAL: HTTP/1.1 500 Server Error - 9597 bytes in 0.008 second response time https://wikitech.wikimedia.org/wiki/Wikidata_query_service
09:44 PROBLEM - Check systemd state on wdqs2003 is CRITICAL: CRITICAL - degraded: The system is operational but one or more units failed. https://wikitech.wikimedia.org/wiki/Monitoring/check_systemd_state
09:45 PROBLEM - PyBal backends health check on lvs2010 is CRITICAL: PYBAL CRITICAL - CRITICAL - wdqs-heavy-queries_8888: Servers wdqs2002.codfw.wmnet are marked down but pooled: wdqs-ssl_443: Servers wdqs2002.codfw.wmnet are marked down but pooled: wdqs-internal_80: Servers wdqs2004.codfw.wmnet are marked down but pooled: wdqs_80: Servers wdqs2002.codfw.wmnet are marked down but pooled https://wikitech.wikimedia.org/wiki/PyBal
09:45 PROBLEM - LVS HTTP codfw IPv4 #page on wdqs.svc.codfw.wmnet is CRITICAL: HTTP CRITICAL: HTTP/1.1 500 Server Error - 9597 bytes in 0.078 second response time https://wikitech.wikimedia.org/wiki/LVS%23Diagnosing_problems
09:45 PROBLEM - Check systemd state on wdqs2001 is CRITICAL: CRITICAL - degraded: The system is operational but one or more units failed. https://wikitech.wikimedia.org/wiki/Monitoring/check_systemd_stateFortunately, preexisting warnings were enough to stop deployment and rollback servers already updated with the faulty version.As for the faulty version itself, since manual tests weren't run after the canary (what should've happen), we didn't actually know that service was faulty. There are no automatic tests during deployment that showed us that that service didn't work properly.","Two main things that happened during the deployment:
* the issue with the faulty version wasn't noticed before the deployment
The problem here is that the version of WDQS was faulty from the start - it wouldn't run properly after updating on any server. Unfortunately, we do not have CI/CD test servers that would have allowed us to spot the issue sooner. It seems that having automated deployments of each master version would be beneficial - we could get information if something fails much faster, e.g. by having a set of smoke tests executed there (we already have such a suite). It is worth it to point out that we already have a server (wdqs1009) that is being updated automatically, but only with the deploy repo version and we tend to deploy immediately after updating the version on that one. Version update with the master version would be more beneficial in scenarios like this one.
* tests were not run after canary deployment
During the deployment there is a step when the process halts - after deploying a canary (single server). The deployer should at this point run the manual tests to verify correctness - that didn't happen. That was caused by human error, but there is no reason why tests - which are normally executed by a person - couldn't be executed as a part of the deployment process.After the outage, in turn, it was hard to precisely assess the impact. While graphs (dashboard) show error rates, they also count in errors that normally happen (like rejections because of throttling).","Update documentation to describe manual testing procedure after canary deployment DONE
* Create automatically updated CI test environment (phab:T252503)
* Include smoke tests as a part of deployment procedure (phab:T252504)
* Improve outage visibility to see actual impact of an outage (phab:T252508)",2020-05-05,Configuration and Deployment Errors,mid,Service Downtime,
